gbifID,Species,Latitude,Longitude
2275286781,Amazona oratrix,16.371599,-88.588203
2275286762,Amazona oratrix,16.372801,-88.5895
2275286760,Amazona oratrix,16.3764,-88.593697
2275286749,Amazona oratrix,16.370501,-88.5868
2275286734,Amazona oratrix,16.372801,-88.5895
2275286708,Amazona oratrix,16.374001,-88.590897
2275286654,Amazona oratrix,16.370501,-88.5868
2275286616,Amazona oratrix,16.371599,-88.588203
2275286592,Amazona oratrix,16.374001,-88.590897
2275286571,Amazona oratrix,16.370501,-88.5868
2275286562,Amazona oratrix,16.374001,-88.590897
2275286559,Amazona oratrix,16.371599,-88.588203
2275286558,Amazona oratrix,16.370501,-88.5868
2275286554,Amazona oratrix,16.372801,-88.5895
2275286552,Amazona oratrix,16.370501,-88.5868
2275286545,Amazona oratrix,16.374001,-88.590897
2275286517,Amazona oratrix,16.370501,-88.5868
2275286491,Amazona oratrix,16.371599,-88.588203
2275286442,Amazona oratrix,16.374001,-88.590897
2275286440,Amazona oratrix,16.3752,-88.5923
2275286192,Amazona oratrix,16.537595,-88.715638
2275286065,Amazona oratrix,16.533011,-88.721405
2275286012,Amazona oratrix,16.536444,-88.717051
2275285979,Amazona oratrix,16.531859,-88.722988
2275285931,Amazona oratrix,16.535275,-88.71854
2275285853,Amazona oratrix,16.534179,-88.719964
2275285844,Amazona oratrix,16.535275,-88.71854
2275285716,Amazona oratrix,16.531859,-88.722988
2275285600,Amazona oratrix,16.537595,-88.715638
2275285167,Amazona oratrix,16.531859,-88.722988
2275285140,Amazona oratrix,16.537595,-88.715638
2275284886,Amazona oratrix,16.535275,-88.71854
2275284875,Amazona oratrix,16.537595,-88.715638
2275284861,Amazona oratrix,16.534179,-88.719964
2275284840,Amazona oratrix,16.531859,-88.722988
2275284789,Amazona oratrix,16.536444,-88.717051
2275284768,Amazona oratrix,16.531859,-88.722988
2275284597,Amazona oratrix,16.536444,-88.717051
2275284568,Amazona oratrix,16.534179,-88.719964
2275284518,Amazona oratrix,16.535275,-88.71854
2275284514,Amazona oratrix,16.531859,-88.722988
2275284513,Amazona oratrix,16.531859,-88.722988
2275284496,Amazona oratrix,16.536444,-88.717051
2275284454,Amazona oratrix,16.533011,-88.721405
2275284446,Amazona oratrix,16.534179,-88.719964
2275284330,Amazona oratrix,16.328127,-88.785166
2275284281,Amazona oratrix,16.531859,-88.722988
2275284260,Amazona oratrix,16.533011,-88.721405
2275284178,Amazona oratrix,16.536444,-88.717051
2275284165,Amazona oratrix,16.533011,-88.721405
2275284126,Amazona oratrix,16.535275,-88.71854
2275284066,Amazona oratrix,16.536444,-88.717051
2275284054,Amazona oratrix,16.537595,-88.715638
2275283951,Amazona oratrix,16.533011,-88.721405
2275283868,Amazona oratrix,16.535275,-88.71854
2275283796,Amazona oratrix,16.534179,-88.719964
2275283765,Amazona oratrix,16.531859,-88.722988
2275283759,Amazona oratrix,16.531859,-88.722988
2275283712,Amazona oratrix,16.328127,-88.785166
2275283701,Amazona oratrix,16.537595,-88.715638
2275283691,Amazona oratrix,16.535275,-88.71854
2275283675,Amazona oratrix,16.531859,-88.722988
2275283668,Amazona oratrix,16.535275,-88.71854
2275283644,Amazona oratrix,16.531859,-88.722988
2275283642,Amazona oratrix,16.537595,-88.715638
2275283592,Amazona oratrix,16.536444,-88.717051
2275283553,Amazona oratrix,16.537595,-88.715638
2275283506,Amazona oratrix,16.535275,-88.71854
2275283485,Amazona oratrix,16.536444,-88.717051
2275283482,Amazona oratrix,16.534179,-88.719964
2275283410,Amazona oratrix,16.534179,-88.719964
2275283371,Amazona oratrix,16.34411,-88.783383
2275283334,Amazona oratrix,16.534179,-88.719964
2275283333,Amazona oratrix,16.537595,-88.715638
2275283289,Amazona oratrix,16.535275,-88.71854
2275283242,Amazona oratrix,16.531859,-88.722988
2275283194,Amazona oratrix,16.330981,-88.783236
2275283150,Amazona oratrix,16.531859,-88.722988
2275283138,Amazona oratrix,16.537595,-88.715638
2275283097,Amazona oratrix,16.534179,-88.719964
2275283027,Amazona oratrix,16.531859,-88.722988
2275282953,Amazona oratrix,16.534179,-88.719964
2275282942,Amazona oratrix,16.534179,-88.719964
2275282939,Amazona oratrix,16.535275,-88.71854
2275282890,Amazona oratrix,16.536444,-88.717051
2275282871,Amazona oratrix,16.531859,-88.722988
2275282862,Amazona oratrix,16.537595,-88.715638
2275282855,Amazona oratrix,16.535275,-88.71854
2275282841,Amazona oratrix,16.537595,-88.715638
2275282764,Amazona oratrix,16.536444,-88.717051
2275282741,Amazona oratrix,16.534179,-88.719964
2275282739,Amazona oratrix,16.531859,-88.722988
