gbifID,Species,Longitude,Latitude
2275288356,Amazona oratrix,-88.5868,16.370501
2275288341,Amazona oratrix,-88.5868,16.370501
2275288319,Amazona oratrix,-88.590897,16.374001
2275288316,Amazona oratrix,-88.593697,16.3764
2275288291,Amazona oratrix,-88.590897,16.374001
2275288286,Amazona oratrix,-88.5868,16.370501
2275288269,Amazona oratrix,-88.590897,16.374001
2275288268,Amazona oratrix,-88.588203,16.371599
2275288236,Amazona oratrix,-88.5868,16.370501
2275288225,Amazona oratrix,-88.5923,16.3752
2275288208,Amazona oratrix,-88.5868,16.370501
2275288170,Amazona oratrix,-88.5895,16.372801
2275288165,Amazona oratrix,-88.5868,16.370501
2275288160,Amazona oratrix,-88.5895,16.372801
2275288155,Amazona oratrix,-88.593697,16.3764
2275288152,Amazona oratrix,-88.5868,16.370501
2275288135,Amazona oratrix,-88.5923,16.3752
2275288108,Amazona oratrix,-88.590897,16.374001
2275288080,Amazona oratrix,-88.5868,16.370501
2275288043,Amazona oratrix,-88.588203,16.371599
2275288023,Amazona oratrix,-88.593697,16.3764
2275288019,Amazona oratrix,-88.593697,16.3764
2275288016,Amazona oratrix,-88.590897,16.374001
2275288007,Amazona oratrix,-88.5923,16.3752
2275287994,Amazona oratrix,-88.588203,16.371599
2275287987,Amazona oratrix,-88.590897,16.374001
2275287984,Amazona oratrix,-88.593697,16.3764
2275287983,Amazona oratrix,-88.5868,16.370501
2275287979,Amazona oratrix,-88.593697,16.3764
2275287976,Amazona oratrix,-88.5923,16.3752
2275287966,Amazona oratrix,-88.5923,16.3752
2275287963,Amazona oratrix,-88.5895,16.372801
2275287957,Amazona oratrix,-88.588203,16.371599
2275287941,Amazona oratrix,-88.593697,16.3764
2275287936,Amazona oratrix,-88.5923,16.3752
2275287916,Amazona oratrix,-88.593697,16.3764
2275287912,Amazona oratrix,-88.5923,16.3752
2275287881,Amazona oratrix,-88.5868,16.370501
2275287873,Amazona oratrix,-88.5923,16.3752
2275287872,Amazona oratrix,-88.5895,16.372801
2275287869,Amazona oratrix,-88.5868,16.370501
2275287858,Amazona oratrix,-88.588203,16.371599
2275287838,Amazona oratrix,-88.5895,16.372801
2275287836,Amazona oratrix,-88.588203,16.371599
2275287821,Amazona oratrix,-88.590897,16.374001
2275287806,Amazona oratrix,-88.593697,16.3764
2275287792,Amazona oratrix,-88.5868,16.370501
2275287758,Amazona oratrix,-88.590897,16.374001
2275287752,Amazona oratrix,-88.5923,16.3752
2275287689,Amazona oratrix,-88.5868,16.370501
2275287684,Amazona oratrix,-88.5923,16.3752
2275287677,Amazona oratrix,-88.588203,16.371599
2275287650,Amazona oratrix,-88.5895,16.372801
2275287646,Amazona oratrix,-88.588203,16.371599
2275287594,Amazona oratrix,-88.5868,16.370501
2275287556,Amazona oratrix,-88.5895,16.372801
2275287551,Amazona oratrix,-88.5895,16.372801
2275287545,Amazona oratrix,-88.5868,16.370501
2275287524,Amazona oratrix,-88.590897,16.374001
2275287493,Amazona oratrix,-88.593697,16.3764
2275287477,Amazona oratrix,-88.588203,16.371599
2275287462,Amazona oratrix,-88.5895,16.372801
2275287427,Amazona oratrix,-88.5868,16.370501
2275287408,Amazona oratrix,-88.5923,16.3752
2275287373,Amazona oratrix,-88.588203,16.371599
2275287353,Amazona oratrix,-88.593697,16.3764
2275287341,Amazona oratrix,-88.588203,16.371599
2275287331,Amazona oratrix,-88.5868,16.370501
2275287312,Amazona oratrix,-88.5923,16.3752
2275287306,Amazona oratrix,-88.5868,16.370501
