gbifID	verbatimScientificName	decimalLatitude	decimalLongitude			stateProvince	county	municipality	locality
3306363568	Amazona oratrix					Campeche	CARMEN		"Estero Sabancuy III, 700 metros (59°) al NE de la Iglesia frente a la plaza central de Sabancuy"
3306363475	Amazona oratrix					Campeche	PALIZADA		"Plan del Carmen, 5.9 km al NE de Santa Isabel, a 5 km al N de San Juan, carretera Palizada-Plan del Carmen"
3306363315	Amazona oratrix					Campeche	CARMEN		"Rancho San Francisco, 3.7 km al NO de Sabancuy, sobre la carretera Champotón-Ciudad del Carmen"
3306363269	Amazona oratrix					Campeche	CARMEN		"El Aguacatal, 6.0 km al SE de Nuevo Campechito, sobre la carretera federal Ciudad del Carmen-Villahermosa"
3306363240	Amazona oratrix					Campeche	PALIZADA		"Plan del Carmen, 5.9 km al NE de Santa Isabel, a 5 km al N de San Juan, carretera Palizada-Plan del Carmen"
3306363122	Amazona oratrix					Campeche	CARMEN		"1 km al O de Los Corralitos, 1.6 km al E de Cuatro de Mayo, Palizada"
3306363101	Amazona oratrix					Campeche	PALIZADA		"Plan del Carmen, 5.9 km al NE de Santa Isabel, a 5 km al N de San Juan, carretera Palizada-Plan del Carmen"
3306363100	Amazona oratrix					Campeche	PALIZADA		"La Toza, 661 m al O de El Borbotón, 3.6 km al S del Paraíso, carretera Palizada-Jonuta"
3306363055	Amazona oratrix					Campeche	PALIZADA		"La Toza, 661 m al O de El Borbotón, 3.6 km al S del Paraíso, carretera Palizada-Jonuta"
3306363031	Amazona oratrix					Campeche	PALIZADA		"Plan del Carmen, 5.9 km al NE de Santa Isabel, a 5 km al N de San Juan, carretera Palizada-Plan del Carmen"
3306363009	Amazona oratrix					Campeche	CARMEN		"Nicté-ha_Santa Gertrudis, 6 km al NO del Mameyal y 15.6 km al E de El Porvenir, Ciudad del Carmen"
3306362957	Amazona oratrix					Campeche	PALIZADA		"Plan del Carmen, 5.9 km al NE de Santa Isabel, a 5 km al N de San Juan, carretera Palizada-Plan del Carmen"
3306362955	Amazona oratrix					Campeche	PALIZADA		"La Toza, 661 m al O de El Borbotón, 3.6 km al S del Paraíso, carretera Palizada-Jonuta"
3306362631	Amazona oratrix					Campeche	CARMEN		"Nicté-ha_Santa Gertrudis, 6 km al NO del Mameyal y 15.6 km al E de El Porvenir, Ciudad del Carmen"
3306362560	Amazona oratrix					Campeche	CARMEN		"El Aguacatal, 6.0 km al SE de Nuevo Campechito, sobre la carretera federal Ciudad del Carmen-Villahermosa"
3306362431	Amazona oratrix					Campeche	PALIZADA		"Las Bodegas, 4.5 km al NE de El Mangal, 1.76 km al O de Las Bodegas, al borde del Río Palizada"
3306362240	Amazona oratrix					Campeche	PALIZADA		"La Toza, 661 m al O de El Borbotón, 3.6 km al S del Paraíso, carretera Palizada-Jonuta"
3306362217	Amazona oratrix					Campeche	CARMEN		"Nicté-ha_Santa Gertrudis, 6 km al NO del Mameyal y 15.6 km al E de El Porvenir, Ciudad del Carmen"
3306361816	Amazona oratrix					Campeche	PALIZADA		"La Toza, 661 m al O de El Borbotón, 3.6 km al S del Paraíso, carretera Palizada-Jonuta"
3306361562	Amazona oratrix					Campeche	PALIZADA		"1 km al NE de San Román, 4.7 km al NO de La Loma, sobre carretera Santa Adelaida-Palizada"
3306361535	Amazona oratrix					Campeche	CARMEN		"Nicté-ha_Santa Gertrudis, 6 km al NO del Mameyal y 15.6 km al E de El Porvenir, Ciudad del Carmen"
3306361163	Amazona oratrix					Campeche	CARMEN		"Nicté-ha_Santa Gertrudis, 6 km al NO del Mameyal y 15.6 km al E de El Porvenir, Ciudad del Carmen"
3306360894	Amazona oratrix					Campeche	PALIZADA		"Plan del Carmen, 5.9 km al NE de Santa Isabel, a 5 km al N de San Juan, carretera Palizada-Plan del Carmen"
3306360869	Amazona oratrix					Campeche	PALIZADA		"1 km al NE de San Román, 4.7 km al NO de La Loma, sobre carretera Santa Adelaida-Palizada"
3306360615	Amazona oratrix					Campeche	CARMEN		"El Aguacatal, 6.0 km al SE de Nuevo Campechito, sobre la carretera federal Ciudad del Carmen-Villahermosa"
3306360606	Amazona oratrix					Campeche	PALIZADA		"Plan del Carmen, 5.9 km al NE de Santa Isabel, a 5 km al N de San Juan, carretera Palizada-Plan del Carmen"
3306360583	Amazona oratrix					Campeche	PALIZADA		"1 km al NE de San Román, 4.7 km al NO de La Loma, sobre carretera Santa Adelaida-Palizada"
3306360074	Amazona oratrix					Campeche	PALIZADA		"Plan del Carmen, 5.9 km al NE de Santa Isabel, a 5 km al N de San Juan, carretera Palizada-Plan del Carmen"
3306360004	Amazona oratrix					Campeche	PALIZADA		"Las Bodegas, 4.5 km al NE de El Mangal, 1.76 km al O de Las Bodegas, al borde del Río Palizada"
3306359962	Amazona oratrix					Campeche	PALIZADA		"La Toza, 661 m al O de El Borbotón, 3.6 km al S del Paraíso, carretera Palizada-Jonuta"
3306359956	Amazona oratrix					Campeche	PALIZADA		"Plan del Carmen, 5.9 km al NE de Santa Isabel, a 5 km al N de San Juan, carretera Palizada-Plan del Carmen"
3306359628	Amazona oratrix					Campeche	CARMEN		"Nicté-ha_Santa Gertrudis, 6 km al NO del Mameyal y 15.6 km al E de El Porvenir, Ciudad del Carmen"
3306359578	Amazona oratrix					Campeche	PALIZADA		"Plan del Carmen, 5.9 km al NE de Santa Isabel, a 5 km al N de San Juan, carretera Palizada-Plan del Carmen"
3306359421	Amazona oratrix					Campeche	PALIZADA		"La Toza, 661 m al O de El Borbotón, 3.6 km al S del Paraíso, carretera Palizada-Jonuta"
3306359147	Amazona oratrix					Campeche	CARMEN		"Nicté-ha_Santa Gertrudis, 6 km al NO del Mameyal y 15.6 km al E de El Porvenir, Ciudad del Carmen"
3306359108	Amazona oratrix					Campeche	PALIZADA		"Las Bodegas, 4.5 km al NE de El Mangal, 1.76 km al O de Las Bodegas, al borde del Río Palizada"
3306359045	Amazona oratrix					Campeche	CARMEN		"Nicté-ha_Santa Gertrudis, 6 km al NO del Mameyal y 15.6 km al E de El Porvenir, Ciudad del Carmen"
3306358902	Amazona oratrix					Campeche	PALIZADA		"Plan del Carmen, 5.9 km al NE de Santa Isabel, a 5 km al N de San Juan, carretera Palizada-Plan del Carmen"
3306358837	Amazona oratrix					Campeche	CARMEN		"Rancho R1, 3.5 km al SO de Calax, 19.8 km al SO de Sabancuy, camino de terracería Calax-R1"
3306358769	Amazona oratrix					Campeche	CARMEN		"1 km al O de Los Corralitos, 1.6 km al E de Cuatro de Mayo, Palizada"
3306358622	Amazona oratrix					Campeche	PALIZADA		"1 km al NE de San Román, 4.7 km al NO de La Loma, sobre carretera Santa Adelaida-Palizada"
3306357975	Amazona oratrix					Campeche	PALIZADA		"La Toza, 661 m al O de El Borbotón, 3.6 km al S del Paraíso, carretera Palizada-Jonuta"
3306357885	Amazona oratrix					Campeche	PALIZADA		"1 km al NE de San Román, 4.7 km al NO de La Loma, sobre carretera Santa Adelaida-Palizada"
3306357693	Amazona oratrix					Campeche	CARMEN		"Nicté-ha_Santa Gertrudis, 6 km al NO del Mameyal y 15.6 km al E de El Porvenir, Ciudad del Carmen"
3306357610	Amazona oratrix					Campeche	PALIZADA		"La Toza, 661 m al O de El Borbotón, 3.6 km al S del Paraíso, carretera Palizada-Jonuta"
3306357590	Amazona oratrix					Campeche	PALIZADA		"Plan del Carmen, 5.9 km al NE de Santa Isabel, a 5 km al N de San Juan, carretera Palizada-Plan del Carmen"
3306357401	Amazona oratrix					Campeche	CARMEN		"Camino Palizada, 5.2 km al SE de Atasta, sobre la carretera federal Ciudad del Carmen-Villahermosa"
